date,steps,distance,runDistance,calories
10/30/2016,14737,10940,173,360
10/31/2016,13436,9982,1191,359
11/1/2016,30190,22446,1763,753
11/2/2016,16513,12126,1074,412
11/3/2016,19682,14068,640,466
11/4/2016,2207,1427,0,61
11/5/2016,3443,2225,0,93
11/6/2016,9662,7195,170,248
11/7/2016,13192,9757,1242,340
11/8/2016,18606,13315,1349,450
11/9/2016,17586,13037,838,455
11/10/2016,21344,15312,1995,509
11/11/2016,16311,11851,1304,417
11/12/2016,9921,7326,1359,267
11/13/2016,6737,4961,266,187
11/14/2016,13734,10222,385,356
11/15/2016,11587,8409,1856,295
11/16/2016,12303,8881,2142,298
11/17/2016,15141,10504,948,353
11/18/2016,11619,8564,79,293
11/19/2016,17816,13346,198,436
11/20/2016,4327,3069,415,108
11/21/2016,14434,10803,515,373
11/22/2016,12083,8972,282,313
11/23/2016,23947,17500,6134,602
11/24/2016,19426,13863,1949,467
11/25/2016,8535,6323,353,226
11/26/2016,12832,9357,1096,324
11/27/2016,1240,802,0,39
11/28/2016,12886,9291,2872,336
11/29/2016,15865,11395,4338,394
11/30/2016,10835,7151,177,232
12/1/2016,10000,7076,2384,248
12/2/2016,22077,16118,6087,565
12/3/2016,10512,7575,2097,263
12/4/2016,3333,2291,70,88
12/5/2016,17520,12353,2353,416
12/6/2016,14459,10492,944,350
12/7/2016,20565,15305,853,506
12/8/2016,24919,18342,336,606
12/9/2016,13301,9340,510,304
12/10/2016,11995,8053,391,270
12/11/2016,4267,2782,86,111
12/12/2016,13909,9262,358,291
12/13/2016,9744,7005,514,244
12/14/2016,18838,13601,889,464
12/15/2016,13645,9984,1534,340
12/16/2016,22452,15995,2340,528
12/17/2016,10979,7878,1262,264
12/18/2016,19452,14814,0,495
12/19/2016,13637,9741,2870,344
12/20/2016,27032,19965,951,657
12/21/2016,20437,14434,1647,482
12/22/2016,12226,8799,677,292
12/23/2016,21049,15788,1184,532
12/24/2016,12603,9173,900,309
12/25/2016,2753,1895,47,75
12/26/2016,15457,10820,1769,352
12/27/2016,20188,14165,1510,455
12/28/2016,11157,8228,707,285
12/29/2016,13039,9461,1333,310
12/30/2016,16310,11830,4583,418
12/31/2016,6426,4465,349,153
1/1/2017,805,520,0,23
1/2/2017,828,535,0,26
1/3/2017,22320,16416,3508,570
1/4/2017,17713,11524,46,339
1/5/2017,6207,4515,224,164
1/6/2017,1516,980,0,46
1/7/2017,11295,8629,595,313
1/8/2017,10440,7407,1935,252
1/9/2017,14209,10290,2195,351
1/10/2017,11725,8621,606,303
1/11/2017,20166,14429,3719,502
1/12/2017,23969,17019,3236,558
1/13/2017,13294,9576,1157,327
1/14/2017,10972,7930,1804,281
1/15/2017,14802,10841,1072,359
1/16/2017,23473,17310,859,579
1/17/2017,14445,10497,230,350
1/18/2017,16882,11759,172,379
1/19/2017,13698,9166,856,299
1/20/2017,17057,12219,808,404
1/21/2017,3429,2396,437,94
1/22/2017,3269,2122,42,88
1/23/2017,13387,9284,430,307
1/24/2017,13882,9397,1228,305
1/25/2017,5230,3420,99,119
1/26/2017,0,0,0,0
1/27/2017,0,0,0,0
1/28/2017,0,0,0,0
1/29/2017,0,0,0,0
1/30/2017,0,0,0,0
1/31/2017,0,0,0,0
2/1/2017,0,0,0,0
2/2/2017,55,36,0,2
2/3/2017,5912,4146,183,143
2/4/2017,834,539,0,25
2/5/2017,5984,4231,259,146
2/6/2017,9029,6495,789,229
2/7/2017,11806,8605,783,293
2/8/2017,10917,7834,891,265
2/9/2017,9390,7169,113,255
2/10/2017,7200,5045,924,174
2/11/2017,19223,13597,1732,438
2/12/2017,3540,2430,51,87
2/13/2017,36318,26544,700,829
2/14/2017,26012,18415,134,565
2/15/2017,21264,15176,654,479
2/16/2017,21099,15291,1183,499
2/17/2017,17218,12160,88,373
2/18/2017,0,0,0,0
2/19/2017,0,0,0,0
2/20/2017,20915,15347,258,483
2/21/2017,23366,17019,248,549
2/22/2017,32974,23637,576,729
2/23/2017,6910,4805,550,159
2/24/2017,4586,3192,782,119
2/25/2017,903,584,0,27
2/26/2017,5026,3500,803,131
2/27/2017,22002,16204,286,542
2/28/2017,20949,15337,302,508
3/1/2017,18709,13264,874,435
3/2/2017,9121,6764,26,222
3/3/2017,23131,16709,482,532
3/4/2017,18877,14055,1281,478
3/5/2017,2968,2018,0,78
3/6/2017,18119,12822,1184,420
3/7/2017,8868,6569,615,231
3/8/2017,12592,9285,188,300
3/9/2017,16910,12835,1451,457
3/10/2017,15071,10857,174,353
3/11/2017,1146,741,0,34
3/12/2017,1231,796,0,37
3/13/2017,13076,9675,274,340
3/14/2017,25369,17963,2812,588
3/15/2017,11828,8189,1360,275
3/16/2017,13386,9214,525,301
3/17/2017,12221,8615,251,283
3/18/2017,2403,1692,26,69
3/19/2017,1367,884,0,40
3/20/2017,4096,2877,0,106
3/21/2017,16099,11437,1150,388
3/22/2017,9849,7350,114,264
3/23/2017,19111,13907,2577,472
3/24/2017,17162,12702,988,415
3/25/2017,1161,750,0,33
3/26/2017,4920,3611,98,129
3/27/2017,10688,7634,2125,261
3/28/2017,15290,11081,1339,375
3/29/2017,22507,16126,4240,549
3/30/2017,14097,9913,2044,333
3/31/2017,12988,9305,906,318
4/1/2017,7721,5889,372,204
4/2/2017,3296,2286,37,86
4/3/2017,18924,13724,2281,453
4/4/2017,18336,13278,736,432
4/5/2017,15375,11484,768,388
4/6/2017,20230,15139,248,511
4/7/2017,11657,8437,881,281
4/8/2017,10972,7939,1403,276
4/9/2017,37255,27868,421,894
4/10/2017,24167,17392,2293,564
4/11/2017,18940,14269,245,487
4/12/2017,11702,8894,180,313
4/13/2017,12548,9210,1243,312
4/14/2017,13242,9695,1072,343
4/15/2017,4238,2794,60,100
4/16/2017,16954,11974,1041,392
4/17/2017,10228,7153,1147,247
4/18/2017,11196,7735,399,248
4/19/2017,14413,9830,1572,319
4/20/2017,6720,4643,702,171
4/21/2017,16906,12227,2966,422
4/22/2017,32210,23114,234,712
4/23/2017,36537,26240,105,793
4/24/2017,23665,17251,1190,559
4/25/2017,443,286,0,11
4/26/2017,22493,16505,3457,555
4/27/2017,1154,755,0,28
4/28/2017,22243,15974,2306,532
4/29/2017,3299,2291,0,83
4/30/2017,15212,10782,594,348
5/1/2017,977,632,0,26
5/2/2017,0,0,0,0
5/3/2017,0,0,0,0
5/4/2017,171,111,0,4
5/5/2017,10750,7361,71,254
5/6/2017,12307,8289,42,281
5/7/2017,3169,2183,0,83
5/8/2017,3887,2825,63,96
5/9/2017,3766,2623,0,104
5/10/2017,4578,3237,115,123
5/11/2017,7143,4817,281,162
5/12/2017,13748,10094,188,350
5/13/2017,15947,10799,222,357
